name,age_range,attention_span,disabilities,goals,interests,price,play_type,preferences,url,image_url
Magnetic Building Tiles,3-9,10–20 minutes,,STEM;Motor skills and physical coordination,Vehicles;Fantasy,29.99,Socially with friends,Indestructible;Compact storage,https://example.com/magnetic-tiles,https://example.com/img/tiles.png
Story Cubes,6-12,5–10 minutes,,Imaginative and creative thinking;Educational and cognitive growth,Fantasy;Animals,12.99,Socially with friends,Travel safe;Low mess level,https://example.com/story-cubes,https://example.com/img/cubes.png
Water Doodle Mat,2-6,10–20 minutes,Mobility friendly,Sensory and multisensory development;Motor skills and physical coordination,Art & Crafts;Animals,21.99,Independently,Washable;Low mess level,https://example.com/doodle-mat,https://example.com/img/mat.png
Mini Microscope Kit,7-13,20+ minutes,Colorblindness,STEM;Tech and electrical exploration,Science;Fantasy,34.99,Independently,Compact storage;No assembly required,https://example.com/microscope,https://example.com/img/microscope.png
Play Dough Factory,3-8,10–20 minutes,,Sensory and multisensory development;Imaginative and creative thinking,Art & Crafts;Fantasy,18.99,Socially with friends,Washable;Low mess level,https://example.com/playdough,https://example.com/img/playdough.png
Balance Beam Set,4-10,10–20 minutes,Mobility friendly,Motor skills and physical coordination;Sensory and multisensory development,Science;Animals,44.99,Independently,Indestructible;No assembly required,https://example.com/balance-beam,https://example.com/img/beam.png
Solar Robot Kit,8-14,20+ minutes,,STEM;Tech and electrical exploration,Science;Vehicles,39.99,Independently,No assembly required;Travel safe,https://example.com/solar-robot,https://example.com/img/solar.png
Animal Matching Cards,2-6,5–10 minutes,Hearing accessibility,Educational and cognitive growth;Imaginative and creative thinking,Animals;Art & Crafts,11.99,Socially with friends,Compact storage;Washable,https://example.com/matching-cards,https://example.com/img/cards.png
Pretend Doctor Kit,3-9,10–20 minutes,,Imaginative and creative thinking;Social-emotional development,Fantasy;Science,24.99,Socially with friends,Culturally inclusive;Low mess level,https://example.com/doctor-kit,https://example.com/img/doctor.png
Glow-in-the-Dark Stars,5-12,5–10 minutes,,Imaginative and creative thinking;STEM,Fantasy;Science,14.99,Independently,Compact storage;Travel safe,https://example.com/glow-stars,https://example.com/img/stars.png
Mini Gardening Set,6-12,10–20 minutes,Mobility friendly,Motor skills and physical coordination;Educational and cognitive growth,Science;Animals,27.99,Independently,Low mess level;Culturally inclusive,https://example.com/gardening,https://example.com/img/garden.png
Braille Puzzle Set,4-10,10–20 minutes,Visual impairment,Educational and cognitive growth;Sensory and multisensory development,Animals;Science,32.99,Independently,Culturally inclusive;Indestructible,https://example.com/braille-puzzle,https://example.com/img/braille.png
